MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,ProjectName,TypeOfWork,FundingYear,ContractId,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,Contractor,ContractorCount,StartDate,ProjectLatitude,ProjectLongitude,ProvincialCapital,ProvincialCapitalLatitude,ProvincialCapitalLongitude
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),LA TRINIDAD (CAPITAL) (BENGUET),Benguet 1st District Engineering Office,P00821126LZ,"Construction of Flood Mitigation along Bauang River, Main Stream (Balili River), La Trinidad, Benguet",Construction of Flood Mitigation Structure,2024,24PE0025,8.685E7,8.682E7,2024-11-22,AKSUM CONTRACTING CORPORATION,1,2024-02-21,16.461317,120.590915,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),KABAYAN (BENGUET),Benguet 1st District Engineering Office,P00821531LZ,"Construction of Flood Mitigation Structure along Agno River, Section 31a (Lower Sapnaguey), Kabayan, Benguet",Construction of Flood Mitigation Structure,2024,24PE0024,3.92E7,3.919342702E7,2024-10-08,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,1,2024-02-21,16.65689003,120.82612975,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),KABAYAN (BENGUET),Benguet 1st District Engineering Office,P00820735LZ,"Construction of Ampeg-ok CIS Flood Control along Alanod Creek, Kabayan, Benguet",Construction of Flood Mitigation Structure,2024,24PE0039,2.94E7,2.9396E7,2024-11-19,CHRISHUA CONSTRUCTION SERVICES,1,2024-04-18,16.65139,120.828661,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),ITOGON (BENGUET),Benguet 1st District Engineering Office,P00821130LZ,"Construction of Flood Mitigation Structure along Agno River, Section 11 (Lower Ambalanga), Itogon, Benguet",Construction of Flood Mitigation Structure,2024,24PE0010,5.983E7,5.982E7,2024-11-25,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES / TSAI SHEN CONSTRUCTION,2,2024-03-19,16.368056,120.655278,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),TUBA (BENGUET),Benguet 1st District Engineering Office,P00824846LZ,"Construction of Flood Mitigation Structure along Aringay River Basin, Main Stream (Kagaling River Section), Tuba, Benguet",Construction of Flood Mitigation Structure,2024,24PE0054,8.492E7,8.487770932E7,2025-03-02,MG SAMIDAN CONSTRUCTION,1,2024-06-03,16.422904,120.52103,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00726656LZ,"Construction of Flood Mitigation Facilities/Drainage System along Bued River (Tributaries), Sta. 0 + 000 - Sta. 0 + 120, Sta. 0 + 223 - Sta. 0 + 533, Baguio City",Construction of Revetment,2023,23PD0057,,4.9E7,2023-11-27,GOLDRICH CONSTRUCTION & TRADING,1,2023-02-10,16.3885,120.5978,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00821132LZ,"Construction of Flood Mitigation Structure along Asin Gallano River, Sta. 0+000 - Sta. 0+400, Sta. 2 + 810 - Sta. 3 + 000, Baguio City",Construction of Flood Mitigation Structure,2024,24PD0024,9.65E7,9.65E7,2024-07-29,GOLDRICH CONSTRUCTION & TRADING,1,2024-02-13,16.431,120.5586,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00821133LZ,"Construction of Flood Mitigation Structure along Asin-Gallano River (Sta. 3+750 - Sta. 4+024), Baguio City",Construction of Flood Mitigation Structure,2024,24PD0027,1.455E8,9.65E7,2024-07-29,GOLDRICH CONSTRUCTION & TRADING,1,2024-03-15,16.4298,120.5653,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00821529LZ,"Construction of Flood Mitigation Structure along Balili River (Tributaries) (Sta 0+620 - Sta 0+793), Baguio City",Construction of Flood Mitigation Structure,2024,24PD0027,,4.9E7,2024-07-29,GOLDRICH CONSTRUCTION & TRADING,1,2024-03-15,16.4267,120.5998,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821532LZ,"Construction of Flood Mitigation Structure along Agno River, Pusong Section, Sta. 0+000 - Sta. 0+360 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0027,2.94E7,2.93527528E7,2024-07-25,NORJOHN CONSTRUCTION,1,2024-04-02,16.798623,120.833271,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00845925LZ,"Construction of Flood Control Structure along Suyo Agno River, Amlimay, Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0037,4.95E7,4.948029E7,2024-08-21,ALMOND ENGINEERING & CONSTRUCTION,1,2024-04-29,16.7045833,120.8220333,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821131LZ,"Construction of Flood Mitigation Structure along Agno River, Tin-apan Section, Sta. 0+058 - Sta. 0+650 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0020,6.755E7,6.746236343E7,2024-07-25,DJY CONSTRUCTION / NORJOHN CONSTRUCTION,2,2024-05-15,16.803992,120.838374,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821129LZ,"Construction of Flood Mitigation Structure along Agno River, Paneg-an Section, Sta. 3+228 - Sta. 4+402 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0029,6.2725E7,6.262858173E7,2024-10-22,DJY CONSTRUCTION / NORJOHN CONSTRUCTION,2,2024-06-14,16.752147,120.856379,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821533LZ,"Construction of Flood Mitigation Structure along Agno River, Salingao Section, Sta. 0+022 - Sta. 0+306 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0034,1.96E7,1.955003078E7,2024-11-20,GELLE CONSTRUCTION SERVICES,1,2024-07-01,16.793953,120.82816,La Trinidad,16.4554,120.5868
