FundingYear,TypeOfWork,TotalProjects,AvgSavings,OverrunRate,YoYChangePct
2021,Construction of Slope Protection Structure,27,6321827.785555557,3.7037037037037037,0.0
2021,Construction of Flood Mitigation Facility,3,2517053.193333333,0.0,0.0
2021,Construction of Flood Mitigation Structure,381,2502473.4808398946,9.711286089238845,0.0
2021,Rehabilitation / Major Repair of Flood Control Structure,41,1364204.3707317077,2.4390243902439024,0.0
2021,Construction of Drainage Structure,48,1202881.8483333334,0.0,0.0
2021,Construction of Revetment,52,547871.6051923071,1.9230769230769231,0.0
2021,Rehabilitation / Major Repair of Drainage Structure,11,380416.1100000003,9.090909090909092,0.0
2021,Construction of Cutoff Channel,1,196492.23000000045,0.0,0.0
2021,Construction of Dike,9,99253.59222222285,55.55555555555556,0.0
2021,Rehabilitation / Major Repair of Slope Protection Structure,3,7846.770000000174,33.333333333333336,0.0
2022,Rehabilitation / Major Repair of Flood Mitigation Facility,1,4370780.739999995,0.0,0.0
2022,Construction of Flood Mitigation Structure,2015,1200216.3869429298,9.875930521091812,-52.03879696898501
2022,Rehabilitation / Major Repair of Flood Control Structure,246,951959.7647154473,15.447154471544716,-30.218683861505873
2022,Construction of Slope Protection Structure,308,898843.6082142863,7.467532467532467,-85.78190297641434
2022,Rehabilitation / Major Repair of Slope Protection Structure,16,841782.9125000008,6.25,10627.763302607087
2022,Construction of Flood Mitigation Facility,43,829713.7409302327,20.930232558139537,-67.03630486920926
2022,Construction of Drainage Structure,215,784631.2763255815,8.837209302325581,-34.77071107085569
2022,Construction of Dike,76,772732.7621052626,6.578947368421052,678.5438741352154
2022,Construction of Groundsill,2,752371.1799999997,0.0,0.0
2022,Construction of Revetment,269,460817.6161710038,1.858736059479554,-15.889487280646119
2022,Rehabilitation / Major Repair of Drainage Structure,85,455786.64635294117,7.0588235294117645,19.81265629180132
2022,Embankment,1,82651.90000000037,0.0,0.0
2022,Construction of Waterway,1,0.5,0.0,0.0
2022,Construction of Spur Dike,2,-99.93500000238419,50.0,0.0
2023,Rehabilitation / Major Repair of Flood Control Structure,217,1100949.3261751148,6.912442396313364,-19.29733185178059
2023,Construction of Flood Mitigation Facility,74,1010904.8912162177,17.56756756756757,-59.83776211429698
2023,Construction of Flood Mitigation Structure,2256,905259.8251063818,7.890070921985815,-63.82539786984862
2023,Rehabilitation / Major Repair of Slope Protection Structure,14,768840.8935714299,0.0,9698.183119569107
2023,Rehabilitation / Major Repair of Flood Mitigation Facility,5,742935.0519999999,0.0,0.0
2023,Rehabilitation / Major Repair of Drainage Structure,71,609033.1061971833,0.0,60.096560105507315
2023,Construction of Slope Protection Structure,196,547223.5344897954,5.612244897959184,-91.34390317085004
2023,Construction of Revetment,234,530128.2761538457,2.5641025641025643,-3.2385925589688833
2023,Construction of Waterway,1,356123.3900000006,0.0,0.0
2023,Construction of Drainage Structure,241,330599.1381327796,4.149377593360996,-72.51607557376936
2023,Construction of Spur Dike,1,318022.7299999967,0.0,0.0
2023,Construction of Groundsill,9,235146.98777777993,0.0,0.0
2023,Construction of Cutoff Channel,1,198580.98999999836,0.0,1.0630242223816735
2023,Construction of Dike,97,22179.128247422464,1.0309278350515463,-77.65408006819067
2023,Repair/Maintenance of Flood Control Structures,1,1005.6899999994785,0.0,0.0
2023,Upgrading of Drainage Structure,1,0.0,0.0,0.0
