Rank,Contractor,TotalCost,ProjectCount,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
1,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),7.461429841109999E9,99,293.2929292929293,5.778428718000008E7,-1.75,High Risk
2,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",5.5711672537699995E9,43,344.6279069767442,2.1131666409999944E7,-1.07,High Risk
3,QM BUILDERS,5.561648399870002E9,75,233.97333333333333,2912517.199999973,-0.08,High Risk
4,ST. TIMOTHY CONSTRUCTION CORPORATION,4.78101933935E9,77,275.57142857142856,6.463748910999999E7,-2.79,High Risk
5,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,4.66574172101E9,74,289.2567567567568,5.980192516999997E7,-2.84,High Risk
6,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,3.6454079144800005E9,48,264.0625,4.9374197449999996E7,-2.62,High Risk
7,"L.R. TIQUI BUILDERS, INC.",3.5160586421500006E9,41,329.5121951219512,3.627974910999996E7,-2.75,High Risk
8,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,3.1240381441699996E9,35,253.4857142857143,4.1683537069999985E7,-2.42,High Risk
9,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,3.06365429911E9,46,298.39130434782606,3.0971097214000005E8,-23.41,High Risk
10,"M. MONTESCLAROS ENTERPRISES, INC.",3.04814352858E9,28,477.92857142857144,7.312135067000002E7,-10.34,High Risk
11,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",2.9030460391E9,41,253.7560975609756,5.358802069999998E7,-3.36,High Risk
12,MG SAMIDAN CONSTRUCTION,2.8314913514900002E9,32,230.6875,2557448.690000005,-0.14,High Risk
13,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),2.8170680778699994E9,37,262.81081081081084,5.699918149000003E7,-3.89,High Risk
14,BICOL GOLDROCK CONSTRUCTION CORPORATION,2.8035688291000004E9,39,269.20512820512823,1.0375390609999962E7,-0.74,High Risk
15,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,2.77338988749E9,35,287.48571428571427,9678954.229999945,-0.77,High Risk
