MainIsland,Region,Total Budget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
Luzon,National Capital Region,37374807552.77,323263.60,274.59,99.87%,100.00
Mindanao,Region X,21108791834.06,117252.72,363.40,100.00%,100.00
Visayas,Region VIII,18757160567.23,61098.65,261.73,100.00%,100.00
Mindanao,Region IX,4292690070.72,49482.39,347.53,100.00%,100.00
Mindanao,Region XII,11853038840.21,19118.15,272.37,100.00%,100.00
Luzon,Region II,22492433992.21,10000.00,255.12,100.00%,100.00
Luzon,Region IV-B,22432789116.38,2975.63,267.13,99.69%,100.00
Luzon,Region III,62517911971.79,2244.01,215.60,100.00%,100.00
Luzon,Cordillera Administrative Region,14557082197.87,2461.79,240.49,100.00%,100.00
Luzon,Region I,24127224108.76,1870.63,229.63,98.61%,100.00
Luzon,Region IV-A,34613010963.02,738.37,256.53,99.85%,100.00
Visayas,Region VI,19178049284.75,845.39,313.51,100.00%,100.00
Luzon,Region V,42471531344.45,236.28,237.27,100.00%,99.58
Mindanao,Region XIII,18686741373.37,202.65,329.91,100.00%,61.43
Visayas,Region VII,27449467562.05,28.30,250.73,99.79%,11.29
Mindanao,Region XI,17878556404.67,0.31,291.57,100.00%,0.11
